Nama,Nama_Toko,Harga,banyak_terjual,Rating,Link,Komentar
Razer Viper V3 Pro - Black - Ultra-lightweight Symmetrical Esports Gaming Mouse,Goodgamingshop,Rp2.749.000,70+,5,https://www.tokopedia.com/goodgamingshop/razer-viper-v3-pro-black-ultra-lightweight-symmetrical-esports-gaming-mouse?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,Penasaran dengan mouse ini setelah lihat banyak review. Sebelumnya pakai Viper Mini dan setelah dicoba cukup kagum karena Viper V3 Pro ini berasa lebih enteng dari Vipe... || moga aja mouse ini end game dan bisa keluar dari rabbit hole :) || The best peripheral store in Indonesia with great service and kind people. Great store with a lot of samples in store to try 👍. Joss pokoknya!💯
MCHOSE G3 / G-3 Tri-Mode Dual 1K High-Performance Wireless PAW-3311 Gaming Mouse - Mouse Gaming - White,Goodgamingshop,Rp345.000,8,5,https://www.tokopedia.com/goodgamingshop/mchose-g3-g-3-tri-mode-dual-1k-high-performance-wireless-paw-3311-gaming-mouse-mouse-gaming-1731068123858371751?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"mantap mouse sampai dengan cepat dan aman. seller sangat responsif walaupun sedang liburan. Mouse sebelumnya logi g402 jadi upgradenya sangat berasa buat saya || Belum dicoba, diupdate ntar klo udah pake. Feel sementara enak, ringan || barang selamat sampai tujuan terima kasih banyak"
Rexus Xierra X16 RGB - Gaming Mouse - Hitam,Goodgamingshop,Rp165.000,60+,4.9,https://www.tokopedia.com/goodgamingshop/rexus-xierra-x16-rgb-gaming-mouse-hitam?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"mantab mousenya.. pengiriman jg mayan cepat. murah jg untuk mouse gaming || MANTEPP CUY, Walaupun gadapet X16 dapet Fantech thor II, sebenernya ga mentingin spek sama sama berat sih 🗿, lebih nyari look cakep, mana atmin nya okeoke lagi, sipp la... || ori ada stiker nya"
ASUS ROG Keris Wireless AimPoint - Gaming Mouse - Hitam,Goodgamingshop,Rp1.990.000,11,4.4,https://www.tokopedia.com/goodgamingshop/asus-rog-keris-wireless-aimpoint-gaming-mouse-hitam-084c3?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"Nyaman dan praktis tinggal plug and play. Ukuran mouse pas ditangan. Best value mouse. || sampe di tanggal (27 maret 2024) baru dateng langsung rusak (mousenya mati mati gajelas), claim ke toko langsung tapi malah disuruh tunggu keputusan distributor (dimana k... || thx gan sesuai deskripsi"
HyperX Pulsefire Haste Wireless - Gaming Mouse - Black,Goodgamingshop,Rp1.435.000,9,5,https://www.tokopedia.com/goodgamingshop/hyperx-pulsefire-haste-wireless-gaming-mouse-black?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,ringan || good
Logitech G705 Wireless Gaming Mouse / G-705,Goodgamingshop,Rp1.489.000,10,5,https://www.tokopedia.com/goodgamingshop/logitech-g705-wireless-gaming-mouse-g-705?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"Packagingnya bagus, rapi dan aman. Untuk seller ramah, responsif, dan up to date. Fungsi barang normal tetapi blm saya coba ke laptop. Harga ok || Nangis ga sih cantik bgt :”)"
Logitech G PRO X SUPERLIGHT 2 Mouse Gaming Wireless E-Sports - Black,Goodgamingshop,Rp2.239.000,250+,5,https://www.tokopedia.com/goodgamingshop/logitech-g-pro-x-superlight-2-mouse-gaming-wireless-e-sports-black-c9dde?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"pengiriman cepat, respon seller cepat dan ramah. barang yang dikirimkan sesuai dengan deskripsi produk. layanan aftersales nya juga ada. top service || Sangat rekomended barang bagus dan tidak ada kendala apapun berfungsi sangat baik || Barang nya bagus Upgrade dari G203, Shape nya pas di tangan, mouse nya ringan juga dan Wireless jadi ga ada kabel yang ganggu. gerakin mouse jadi lebih leluasa. Good lah..."
Mouse Gaming RGB Sades Void PMW 3325 - Gaming Mouse - Putih,Goodgamingshop,Rp240.000,3,4.5,https://www.tokopedia.com/goodgamingshop/mouse-gaming-rgb-sades-void-pmw-3325-gaming-mouse-putih?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
HyperX Pulsefire Haste - Gaming Mouse - Black Red,Goodgamingshop,Rp722.000,40+,4.9,https://www.tokopedia.com/goodgamingshop/hyperx-pulsefire-haste-gaming-mouse-black-red?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"sangat ringan, penggunaan sejauh ini enak, semoga tahan lama || brg cepet dikirim, tapi taunya g ada kardus cmn wrap aja, ini pdhl brg lumayan mahal || Sebenernya deg2an waktu mau beli barang ini, karena gak bisa nyoba langsung. Tapi dengan ngikutin rekomendasi dari youtuber RocketjumpNinja jadi yakin sih ini mouse bagus..."
SteelSeries Rival 3 Wireless - Gaming Mouse - Garansi,Goodgamingshop,Rp950.000,250+,5,https://www.tokopedia.com/goodgamingshop/steelseries-rival-3-wireless-gaming-mouse-garansi-65a9e?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"mantap, barang ori, packing aman. build quality nya steelseries tetep juara dibanding merk lokal. baterai nya 2x AAA, tapi pakai 1 baterai tetap bisa (jika ingin mengu... || adminnya asique barangnya asique yg g asique batrenya ngenyot banget akwowkowkwo || Mantap, mouse ukurannya pas di saya. Jika mau lebih ringan bisa pakai 1 baterai. Enak buat main fps"
