Nama,Nama_Toko,Harga,banyak_terjual,Rating,Link,Komentar
Pulsar X2 V2 Mini Ultra-lightweight Wireless Gaming Mouse - Hitam,Chemicy Gaming,Rp1.549.000,13,5,https://www.tokopedia.com/chemicygaming/pulsar-x2-v2-mini-ultra-lightweight-wireless-gaming-mouse-hitam-7e0b5?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,"mouse teringan opsi lain dari mouse logi suplight ,best || Nyaman dan praktis tinggal plug and play Best value mouse || mantap"
Razer Basilisk V3 RGB Gaming Mouse,Chemicy Gaming,Rp699.000,16,4.9,https://www.tokopedia.com/chemicygaming/razer-basilisk-v3-rgb-gaming-mouse?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,"dulu sdh pernah beli mouse ini untuk temen di chemicy gaming, trs coba pakai sekali terasa bagus dr segi build quality dan cocok utk tangan saya. dan akhirnya beli utk sa... || pengiriman cepat dan berfungsi semestinya, untuk admin the best lah || barang oke, ori bisa lebih di perbaiki packingnya, bubble wrap bsa lebih tebal dan merata agar box bsa lebih mulus saat datang"
Lamzu Atlantis Mini Pro 4K LIghtweight Gaming Mouse,Chemicy Gaming,Rp1.649.000,15,5,https://www.tokopedia.com/chemicygaming/lamzu-atlantis-mini-pro-4k-lightweight-gaming-mouse?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,Respon cepat dan pengiriman juga cepat 1 hari sudah sampai 👍 || Terbaik
NYK HK400 / HK-400 Grimlock RGB Gaming Mouse with Macro - Hitam,Chemicy Gaming,Rp79.000,6,4.8,https://www.tokopedia.com/chemicygaming/nyk-hk400-hk-400-grimlock-rgb-gaming-mouse-with-macro-hitam?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,packing aman sampai tujuan👍 Ukuran mouse pas ditangan. || Nyaman dan praktis tinggal plug and play Ukuran mouse pas ditangan. Best value mouse || Ukuran mouse pas ditangan. Nyaman dan praktis tinggal plug and play Best value mouse
Endgame Gear XM1 RGB Gaming Mouse - Dark Reflex,Chemicy Gaming,Rp750.000,15,5,https://www.tokopedia.com/chemicygaming/endgame-gear-xm1-rgb-gaming-mouse-dark-reflex?extParam=whid%3D70839%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"👍 || mantap packing aman, dan warna putih ini tidak ngecap sidik jari jdi mntp || barang mantap, packaging rapih, puas lah pokoknya"
Pulsar X2H / X2 H Ultra-lightweight Wireless Gaming Mouse - Putih,Chemicy Gaming,Rp1.549.000,8,5,https://www.tokopedia.com/chemicygaming/pulsar-x2h-x2-h-ultra-lightweight-wireless-gaming-mouse-putih-ee146?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,Mantap
Vortex Series Inno X3 / Inno X3 Pro Ultra Lightweight Wireless Gaming Mouse - X3 Pro White,Chemicy Gaming,Rp789.000,30+,5,https://www.tokopedia.com/chemicygaming/vortex-series-inno-x3-inno-x3-pro-ultra-lightweight-wireless-gaming-mouse-x3-pro-white-82a18?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,"Seller cepat sekali. Udah berkali-kali beli disini. Grip langsung dipake juga. Thank you || barang bagus respon penjual cepet || belanja di chemicy ga bakal nyesel , udah sering banget beli gear gaming dari mouse, mousepad sampe accessories mouse. semuanya bagus dan pelayanan adminnya baik bgt"
Razer Orochi V2 Ultra Lightweight Wireless Gaming Mouse - Hitam,,Rp699.000,100+,5,https://www.tokopedia.com/chemicygaming/razer-orochi-v2-ultra-lightweight-wireless-gaming-mouse-hitam?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,"Desain nya keren, perpaduan warna hitam dan putihnya cakep Cocok buat fingertip claw. Lumayan ringan Paten ||  || "
Razer Viper V3 HyperSpeed Wireless Gaming Mouse,Chemicy Gaming,Rp1.149.000,5,5,https://www.tokopedia.com/chemicygaming/razer-viper-v3-hyperspeed-wireless-gaming-mouse?extParam=whid%3D70839%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"koq razer coatingnya enak, biasanya licin. mantablah"
Rexus QB400 Dual Mode Wireless Bluetooth Office Mouse - Lilac,Chemicy Gaming,Rp179.000,11,5,https://www.tokopedia.com/chemicygaming/rexus-qb400-dual-mode-wireless-bluetooth-office-mouse-lilac-809e0?extParam=src%3Dshop%26whid%3D70839&aff_unique_id=&channel=others&chain_key=,"Enak sih murah meriah mantap, looknya jg keren bgt. Asal ga buat gaming aja, cocok bgt untuk setup retro. Minusnya menurut saya cuma ga bisa dipake mode wired aja. Pengir..."
