Nama,Harga,Rating,Link,Komentar
"Samsung 32"" Odyssey Neo G8 240Hz Monitor - LS32BG852NEXXD",Rp17.999.000,-,https://www.tokopedia.com/goodgamingshop/samsung-32-odyssey-neo-g8-240hz-monitor-ls32bg852nexxd?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"Monitor Acer Nitro LED IPS VG252Q Z - Full HD 25"" Inch",Rp3.699.000,5,https://www.tokopedia.com/goodgamingshop/monitor-acer-nitro-led-ips-vg252q-z-full-hd-25-inch?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"Samsung ODYSSEY G70B 28"" LS28BG700EEXXD - Gaming Monitor",Rp9.999.000,-,https://www.tokopedia.com/goodgamingshop/samsung-odyssey-g70b-28-ls28bg700eexxd-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"Monitor LED Digital Alliance 27"" 240Hz IPS FHD 1ms 99% SRGB 5ms HDMI Vesa Mount RGB Lighting DA27-RE240 DA27RE240",Rp2.699.000,4.9,https://www.tokopedia.com/goodgamingshop/monitor-led-digital-alliance-27-240hz-ips-fhd-1ms-99-srgb-5ms-hdmi-vesa-mount-rgb-lighting-da27-re240-da27re240?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,"Bagusss sekali, for gaming oke sekali. terima kasih || Kualitasnya ok banget lah || Keren, dapet mousepad pula, thanks ggs"
"Samsung 27"" Odyssey G5 165Hz 1ms QHD IPS HDR10 G-Sync - Gaming Monitor",Rp6.459.000,-,https://www.tokopedia.com/goodgamingshop/samsung-27-odyssey-g5-165hz-1ms-qhd-ips-hdr10-g-sync-gaming-monitor?extParam=whid%3D4830959%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,
Acer Monitor VG271U M3 27 Inch Acer Nitro 180Hz,Rp4.200.000,-,https://www.tokopedia.com/goodgamingshop/acer-monitor-vg271u-m3-27-inch-acer-nitro-180hz?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"LED Monitor ASUS TUF Gaming VG279QR 27"" 165Hz FHD HDMI DP",Rp4.510.000,-,https://www.tokopedia.com/goodgamingshop/led-monitor-asus-tuf-gaming-vg279qr-27-165hz-fhd-hdmi-dp?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"Monitor LED AOC 27B1H2 27"" IPS 1080p FHD 100Hz HDMI VGA Slim Eye Care",Rp2.490.000,-,https://www.tokopedia.com/goodgamingshop/monitor-led-aoc-27b1h2-27-ips-1080p-fhd-100hz-hdmi-vga-slim-eye-care?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"AOC G2790VXA 27"" FHD 144Hz 1ms HDMI - Gaming Monitor",Rp3.229.100,-,https://www.tokopedia.com/goodgamingshop/aoc-g2790vxa-27-fhd-144hz-1ms-hdmi-gaming-monitor?extParam=whid%3D4830959%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,
BenQ ZOWIE XL2546X Fast TN 240Hz DyAc 2 Esport Gaming Monitor,Rp9.900.240,-,https://www.tokopedia.com/goodgamingshop/benq-zowie-xl2546x-fast-tn-240hz-dyac-2-esport-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"ASUS VP249QGR Gaming Monitor [1080p, 144Hz] - VP249QGR",Rp2.706.000,-,https://www.tokopedia.com/goodgamingshop/asus-vp249qgr-gaming-monitor-1080p-144hz-vp249qgr?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"Acer XV272U P 27"" IPS QHD FreeSync HDR400 144Hz Gaming Monitor",Rp5.605.000,5,https://www.tokopedia.com/goodgamingshop/acer-xv272u-p-27-ips-qhd-freesync-hdr400-144hz-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,Pesanan agak terlambat tapi customer service nya sangat ramah dan helpful. Barang juga sesuai deskripsi || penjualnya ramah n monitornyaantap
"MSI Optix MPG321UR-QD 4k 144Hz 1ms 32"" Quantum Dot - Gaming Monitor",Rp22.940.000,-,https://www.tokopedia.com/goodgamingshop/msi-optix-mpg321ur-qd-4k-144hz-1ms-32-quantum-dot-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"MSI Optix MPG321QRF QD Quantum Dot WQHD 32"" 175Hz - Gaming Monitor",Rp14.599.000,-,https://www.tokopedia.com/goodgamingshop/msi-optix-mpg321qrf-qd-quantum-dot-wqhd-32-175hz-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"ASUS ProArt PA32UC 4K HDR Professional Monitor 4K, HDR",Rp30.126.000,-,https://www.tokopedia.com/goodgamingshop/asus-proart-pa32uc-4k-hdr-professional-monitor-4k-hdr?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
LG 24MP400-B 23.8'' FHD IPS Monitor AMD FreeSync 75Hz HDMI,Rp1.249.000,5,https://www.tokopedia.com/goodgamingshop/lg-24mp400-b-23-8-fhd-ips-monitor-amd-freesync-75hz-hdmi?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"ASUS ProArt Display PA279CV 27"" 4K IPS Professional - Gaming Monitor",Rp12.530.000,-,https://www.tokopedia.com/goodgamingshop/asus-proart-display-pa279cv-27-4k-ips-professional-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"ROG Strix XG249CM 23.8"" HDR 270Hz 1ms GTG FreeSync - Gaming Monitor",Rp7.706.000,-,https://www.tokopedia.com/goodgamingshop/rog-strix-xg249cm-23-8-hdr-270hz-1ms-gtg-freesync-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"MSI Optix G271C 27"" 165Hz 1000R FHD 1MS - Gaming Monitor",Rp5.110.000,5,https://www.tokopedia.com/goodgamingshop/msi-optix-g271c-27-165hz-1000r-fhd-1ms-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"LED MONITOR LG 20MK400A-B [19,5"" dengan AMD FreeSync] - Gaming Monitor",Rp1.790.000,-,https://www.tokopedia.com/goodgamingshop/led-monitor-lg-20mk400a-b-19-5-dengan-amd-freesync-gaming-monitor?extParam=whid%3D4830959%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,
"BenQ Zowie XL2566X+ 24.1"" Fast TN 400Hz Gaming Monitor DyAc 2 1080p - Monitor Gaming",Rp13.366.400,5,https://www.tokopedia.com/goodgamingshop/benq-zowie-xl2566x-24-1-fast-tn-400hz-gaming-monitor-dyac-2-1080p-monitor-gaming-1730771686931989671?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
ASUS ROG Strix XG27UCS | 4K Gaming Monitor 27Inch 3840x2160 4K UHD Gaming Monitor with 160Hz 1ms Response Time (GTG) G-Sync,Rp7.249.000,-,https://www.tokopedia.com/goodgamingshop/asus-rog-strix-xg27ucs-4k-gaming-monitor-27inch-3840x2160-4k-uhd-gaming-monitor-with-160hz-1ms-response-time-gtg-g-sync?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
Asus TUF VG249QM1A 23.8inch 270Hz G-Sync Gaming LED Monitor,Rp3.899.000,5,https://www.tokopedia.com/goodgamingshop/asus-tuf-vg249qm1a-23-8inch-270hz-g-sync-gaming-led-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
Cooler Master GM27-CQS - Gaming Monitor,Rp3.999.000,5,https://www.tokopedia.com/goodgamingshop/cooler-master-gm27-cqs-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"MSI MAG ARTYMIS 274CP [1080p, 165Hz] - Gaming Monitor",Rp6.999.000,5,https://www.tokopedia.com/goodgamingshop/msi-mag-artymis-274cp-1080p-165hz-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
MSI Optix MAG342CQR - Gaming Monitor,Rp10.119.000,-,https://www.tokopedia.com/goodgamingshop/msi-optix-mag342cqr-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
ASUS ROG Swift PG32UQX 32 inch 4K UHD IPS 144Hz 1ms - Gaming Monitor,Rp55.167.000,-,https://www.tokopedia.com/goodgamingshop/asus-rog-swift-pg32uqx-32-inch-4k-uhd-ips-144hz-1ms-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
HyperX Armada 27 Inch QHD Gaming Monitor,Rp8.250.000,5,https://www.tokopedia.com/goodgamingshop/hyperx-armada-27-inch-qhd-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
MSI MPG ARTYMIS 273CQR Curved Screen WQHD - Gaming Monitor,Rp9.900.000,5,https://www.tokopedia.com/goodgamingshop/msi-mpg-artymis-273cqr-curved-screen-wqhd-gaming-monitor?extParam=src%3Dshop%26whid%3D4830959&aff_unique_id=&channel=others&chain_key=,
"BenQ EW3880R 38"" Curved WQHD+ HDRi IPS USB-C 95% DCI-P3 - Monitor",Rp23.900.000,-,https://www.tokopedia.com/goodgamingshop/benq-ew3880r-38-curved-wqhd-hdri-ips-usb-c-95-dci-p3-monitor?extParam=whid%3D4830959%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,
