Nama,Nama_Toko,Harga,banyak_terjual,Rating,Link,Komentar
Kingston HyperX Pulsefire FPS Pro RGB Gaming Mouse,Enter Komputer Official,Rp719.000,2,5,https://www.tokopedia.com/enterkomputer/kingston-hyperx-pulsefire-fps-pro-rgb-gaming-mouse?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,"barang sesuai dgn pesanan & sampai dgn selamat, waktu pengiriman tepat sesuai waktu pengiriman, makasih"
Pulsar X2 V3 Medium Wireless Gaming Mouse - White,Enter Komputer Official,Rp1.609.000,-,-,https://www.tokopedia.com/enterkomputer/pulsar-x2-v3-medium-wireless-gaming-mouse-white-1730817166100236252?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,
Logitech G402 Gaming Mouse,Enter Komputer Official,Rp487.000,100+,4.9,https://www.tokopedia.com/enterkomputer/logitech-g402-gaming-mouse?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,"respon cepat, proses cepat, barang mantep || barang bagus || Fungsi baik"
Pulsar Feinmann F01 Magnesium Wireless Gaming Mouse,Enter Komputer Official,Rp3.249.000,-,-,https://www.tokopedia.com/enterkomputer/pulsar-feinmann-f01-magnesium-wireless-gaming-mouse-1730817213182937052?extParam=whid%3D53830%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,
Fantech VENOM II WGC2 Rechargeable Wireless Gaming Mouse,Enter Komputer Official,Rp199.000,1,5,https://www.tokopedia.com/enterkomputer/fantech-venom-ii-wgc2-rechargeable-wireless-gaming-mouse-1731046354514380764?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,
Fantech Helios UX-3 Gaming Mouse,Enter Komputer Official,Rp286.000,3,5,https://www.tokopedia.com/enterkomputer/fantech-helios-ux-3-gaming-mouse?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,Mantap bang aku suka sekali ini || cakep banget dh
Altec Lansing ALGM-9414 Gaming Mouse,Enter Komputer Official,Rp117.000,20,5,https://www.tokopedia.com/enterkomputer/altec-lansing-algm-9414-gaming-mouse?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,"Best value mouse || Gooooood || pengiriman sangat cepat, packing aman, produk sesuai dengan deskripsi"
Fantech Helios XD3 Wireless Gaming Mouse,Enter Komputer Official,Rp504.000,6,5,https://www.tokopedia.com/enterkomputer/fantech-helios-xd3-wireless-gaming-mouse?extParam=whid%3D53830%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,Nyaman dan praktis tinggal plug and play. Ukuran mouse pas ditangan..
Kingston HyperX Pulsefire FPS Core Gaming Mouse,Enter Komputer Official,Rp309.000,10,4.7,https://www.tokopedia.com/enterkomputer/kingston-hyperx-pulsefire-fps-core-gaming-mouse?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,"Barang sudah dtang tpi tidak sesuai gambar dan nama Tipe ini adalah Tipe Pulsefire core, bukan pulsefire fps core/pulsefire fps(seperti di gambar) || Terbaik.. Benar Pulsefire Core.."
Logitech G304 Lightspeed Wireless Gaming Mouse,Enter Komputer Official,Rp526.000,100+,5,https://www.tokopedia.com/enterkomputer/logitech-g304-lightspeed-wireless-gaming-mouse?extParam=src%3Dshop%26whid%3D53830&aff_unique_id=&channel=others&chain_key=,"Responsif, pas di tangan saya yg cukup besar ini… warna sesuai request… best || Packaging rapi dan aman,kualitas mousenya OK || mantap barangnya, dari segi kualitas sangat bagus. recomended sekali"
