Nama,Nama_Toko,Harga,banyak_terjual,Rating,Link,Komentar
Altec Lansing ALBM7234 / ALBM-7234 Wireless Mouse,TokoTeknoPro,Rp67.000,19,5,https://www.tokopedia.com/tokoteknopro/altec-lansing-albm7234-albm-7234-wireless-mouse?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,"produk ok, packaging baik, pengiriman cepat"
Sades Void RGB Wired Gaming Mouse,TokoTeknoPro,Rp499.000,29,5,https://www.tokopedia.com/tokoteknopro/sades-void-rgb-wired-gaming-mouse?extParam=whid%3D1363926%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"Barang sudah sampai,baru di tes fisik nya aman, walau di packing bubble ny ada robek sedikit tapi aman karena masih ada kotak mouse nya. Mouse void keluaran beberapa tahu... || build quality nya bagus, mulai dari build material dan texturenya || Mousenya Lelaki, bukan cowo karena lakik suka yang berat berat"
Fantech XD5 Helios GO Ultralight Wireless Gaming Mouse,TokoTeknoPro,Rp629.000,250+,5,https://www.tokopedia.com/tokoteknopro/fantech-xd5-helios-go-ultralight-wireless-gaming-mouse?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,"Produknya datang dengan aman, tapi ketika saya buka bungkusan bubble wrap, plastik kemasan segel sudah di buka. Kotaknya juga ada bau ciri khas ""gudang"", maklum s... || Kalau boleh jujur, mouse ini lebih masuk akal pas harganya di 200rb. Karena meskipun udah wireless, saya prefer basilisk v3 di harga 600rban. XD5 sendiri sebenernya enak... || Ya iyalah bagus, soalnya dapet harga diskon akwoakwok dri 600k jdi 200k Material, Sensor, Switch, RGB, Battery Topp Untuk Palm Grip / Crawl Grip (Tangan di atas 18 cm) E..."
Logitech G102 V2 Lightsync RGB Gaming Mouse RESMI DAN BERGARANSI,TokoTeknoPro,Rp245.000,100+,4.9,https://www.tokopedia.com/tokoteknopro/logitech-g102-v2-lightsync-rgb-gaming-mouse-resmi-dan-bergaransi?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,"jawaban pertanyaan di chat sangat tidak profesional dan jawabannya sangat menyinggung. || Mousenya baru 3 hari pake double clicknya udh letoy.. Kliatannya kayak sudah pernah dibongkar. Soalnya code di mouse & di box g sama. Ngirimnya ngasal box penyok smua... || Recommended parahh, pesan jam 3 siang, besoknya jam 11 sampai, ga sampe 24 jamm gokilll"
Fantech X9 Thor Gaming Mouse Standard Macro,TokoTeknoPro,Rp95.000,100+,4.9,https://www.tokopedia.com/tokoteknopro/fantech-x9-thor-gaming-mouse-standard-macro?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,"mantap kak emang the best udh murah, cepet responnya dan terpercaya, ngirimnya juga cepet || mousenya bagus 10/10 , pengiriman cepat sampai dalam 2 hari , kondisi mulus aman, packaging nya sangat aman, puas deh, recommended banget 👍👍 || keren dan Cukup bagus dengan harga yang terjangkau kualitas Ok. Sellernya juga Cepat respon nya 👍"
Rexus Daxa Air II / 2 Wireless Gaming Mouse,TokoTeknoPro,Rp675.000,100+,4.9,https://www.tokopedia.com/tokoteknopro/rexus-daxa-air-ii-2-wireless-gaming-mouse?extParam=whid%3D1363926%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"Buat penjual respon baik, jelas dan cepat 👍🏼 Buat paket ternyata dapat bonus sticker hitam buat tekstur gitu(?) Buat barang bagus mulus masih segel, enteng banget ga... || pengiriman sangat cepat, respon penjual sangat cepat, barang original dan berfungsi dengan baik, desain mouse juga keren. Buat kado suamiku keren banget Nyaman dan prakti... || Best value mouse. Nyaman dan praktis tinggal plug and play. Ukuran mouse pas ditangan.."
Razer Viper Mini Lightweight Wired Gaming Mouse Chroma,TokoTeknoPro,Rp485.000,10,4.3,https://www.tokopedia.com/tokoteknopro/razer-viper-mini-lightweight-wired-gaming-mouse-chroma?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,"barang Sesuai Deskripsi dan Original Respon Cepat Pengiriman cepat Bonus Diberikan Recomended Seller Tks || Nice. || produk sesuai deskripsi, pengiriman dan respon cepat👍🏻"
Logitech Mouse M330 Silent Plus RESMI DAN BERGARANSI 100%,TokoTeknoPro,Rp195.000,30+,5,https://www.tokopedia.com/tokoteknopro/logitech-mouse-m330-silent-plus-resmi-dan-bergaransi-100?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,"Barang ori (sudah dicek SNnya cocok) + masih segel. Baru dites, barang berfungsi dengan baik. Reply dari seller juga cepat, ramah, dan mau membantu dan menjelaskan item k... || Produk sesuai deskripsi, berfungsi dengan baik dan pengiriman cepat! || Mousenya sangat bagus saya suka sekali sudah gitu mousenya benar2 ga ada suaranya,seller nya jg ramah d baik,terima kasih ya kak"
"Rexus X18 / X-18 Rifle Ergonomic Gaming Wired Mouse RGB - Hitam, Free Mousepad",,Rp159.000,500+,4.8,https://www.tokopedia.com/tokoteknopro/rexus-x18-x-18-rifle-ergonomic-gaming-wired-mouse-rgb-1729579881208253036?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=, ||  || 
NYK Nemesis S80 / S-80 Blackshark Wireless Gaming Mouse,TokoTeknoPro,Rp269.000,90+,4.9,https://www.tokopedia.com/tokoteknopro/nyk-nemesis-s80-s-80-blackshark-wireless-gaming-mouse?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,"Kondisi normal sudah di test Tombol2 aman normal Lampu RGB yg hidup normal Semoga awet || Warna yang di order sebenarnya Hitam.. tp datangnya putih. Karena Hitam udh discontinue. kabelnya bahannya kurang.. krn terlihat difoto. produk blm dicoba mudah2an bisa a... || Barang sesuai gambar dan deskripsi, penjual cepat responnya. Untuk harga segini oke banget ini. Bisa wired sama wireless. Untuk wired ubah jadi lv1 dan rgb nya bakal nyal..."
Sades Akimbo Wireless Gaming Mouse RGB Dual Mode - Free Mousepad,TokoTeknoPro,Rp629.000,1,5,https://www.tokopedia.com/tokoteknopro/sades-akimbo-wireless-gaming-mouse-rgb-dual-mode-1729562873011604076?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,minus indikator batre mousenya gk ada ya ? jdi gk keliatan batrenya udah dikit atau masih full
Aula F810 / F-810 RGB Ergonomic Honeycomb Wired Gaming Mouse,TokoTeknoPro,Rp125.000,13,5,https://www.tokopedia.com/tokoteknopro/aula-f810-f-810-rgb-ergonomic-honeycomb-wired-gaming-mouse?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,"murah meriah berkualitas🔥 barang ori, packingan rapih dan pengiriman cepat!"
Rexus X15 Xierra Wired Gaming Mouse - Putih,TokoTeknoPro,Rp135.000,250+,4.9,https://www.tokopedia.com/tokoteknopro/rexus-x15-xierra-wired-gaming-mouse-putih?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,"Ringan pas ditangan cuma sayang banget gaada varian warna hitam || sesuai pesanan, barang berfungsi dengan baik || Agak sedih karna pengiriman dari toko kaya ""dilamain"" gitu konfirmasinya. kalau bisa kasih rating ke toko bakal kasih rating 1 dah. Buat barang, rasanya cukup nya..."
Logitech Mouse M337 3 WARNA RESMI DAN BERGARANSI 100%,TokoTeknoPro,Rp265.000,100+,4.9,https://www.tokopedia.com/tokoteknopro/logitech-mouse-m337-3-warna-resmi-dan-bergaransi-100?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,"mouse bentuknya memang aga kecil tetapi cukup nyaman digunakan, dan dilengkapi fitur tombol yang bisa di kustomisasi lewat software logitech.overall saya puas dengan prod... || cepat mantab, barang ori || Kiriman super cepat"
Rexus Daxa AIR 3 / III Wireless Gaming Mouse,TokoTeknoPro,Rp690.000,80+,5,https://www.tokopedia.com/tokoteknopro/rexus-daxa-air-3-iii-wireless-gaming-mouse?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,"pengiriman cepat, barang original. Ukuran mouse pas ditangan. Best value mouse || barang sangat bagus, ori, ada garansinya juga ori. pengirimannya cepet bgt satu hari, padahal gak pakai Next Day || Mouse ini tidak ramah sama lenovo legion saya. Sering bikin koneksi RTO LAN connection saya dan sering terputus jika pakai wifi. Sudah saya claim garansi dan diberikan un..."
Aula F808 / F-808 RGB 4 Color LED Gaming Mouse Elegant,TokoTeknoPro,Rp155.000,10,4.8,https://www.tokopedia.com/tokoteknopro/aula-f808-f-808-rgb-4-color-led-gaming-mouse-elegant?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,"Mouse murah tapi bagus👍 Nyaman dan praktis juga tinggal plug and play, thankyou min😁"
Razer Viper Ultimate Hyperspeed Wireless Gaming Mouse,TokoTeknoPro,Rp1.189.000,60+,4.8,https://www.tokopedia.com/tokoteknopro/razer-viper-ultimate-hyperspeed-wireless-gaming-mouse?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,"Packing rapih, produk tiba dengan aman walaupun ada sedikit penyok di dus. Berfungsi dengan baik. Thx || Ukuran mouse pas ditangan.. Best value mouse. Nyaman dan praktis tinggal plug and play. || tidak pernah nyesel beli barang di tokolaptopid👍🏼"
Sades Oculus S30 Wireless RGB Dual Mode Gaming Mouse,TokoTeknoPro,Rp319.000,30+,4.9,https://www.tokopedia.com/tokoteknopro/sades-oculus-s30-wireless-rgb-dual-mode-gaming-mouse?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,"build quality bagus, pengiriman cepet.. semoga awet.. 🙏 || Gokil si responsif banget, udah pakai sebulan puas banget, recomended seller dan barang || setelah 2 bulan pemakaian sangat puas battrey nya awet 2 minggu ga di cas"
Razer Orochi V2 Mobile Wireless Gaming Mouse,,Rp689.000,27,4.8,https://www.tokopedia.com/tokoteknopro/razer-orochi-v2-mobile-wireless-gaming-mouse?extParam=whid%3D1363926%26src%3Dshop&aff_unique_id=&channel=others&chain_key=,"Proses agak lama, barang ori packing aman ||  || "
Fantech XD3 Helios Wireless Gaming Mouse,TokoTeknoPro,Rp559.000,500+,4.9,https://www.tokopedia.com/tokoteknopro/fantech-xd3-helios-wireless-gaming-mouse-garansi-resmi?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,"Proses pengiriman cepat, seller ramah dan dapet bonus juga. Barang juga bagus. || Barang diproses cepat, dan dikirim sesuai dengan waktu estimasi. Barangnya aman tidak ada kerusakan pada paket dan berfungsi dengan baik. || barangnya bagus sudah sampai, penjual juga responsif dan ramah 😁"
Pulsar X2 Mini Wireless Gaming Mouse Ambidextrous Light-Weight X 2,TokoTeknoPro,Rp1.489.000,13,5,https://www.tokopedia.com/tokoteknopro/pulsar-x2-mini-wireless-gaming-mouse-ambidextrous-light-weight-x-2?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,muantebbb abezzzz
Rexus G23 / G-23 Xierra Wired RGB Gaming Mouse - Putih,TokoTeknoPro,Rp99.000,250+,4.8,https://www.tokopedia.com/tokoteknopro/rexus-g23-g-23-xierra-wired-rgb-gaming-mouse-putih?extParam=src%3Dshop%26whid%3D1363926&aff_unique_id=&channel=others&chain_key=,"desainnya keren, berfungsi dengan baik, cocok untuk telapak tangan besar || Barang sudah sampai sesuai pesanan, admin responsif, kurir terhitung cepat (agak delay karena mungkin banjir). terimakasih semoga awet 👍🏻 || Langsung di jadiin setup dengan rexus lainnya 👍🤙"
